N,p,lag,cap,K,short,scheme,CAGR,vol,Sharpe,MDD,Calmar
252,0.2,0,3,1,0.0,HLP,0.2383364874794489,0.4609949106968341,0.6959323497078217,-0.7790970487871212,0.3059137341753318
189,0.4,1,2,4,0.0,LP,0.12674647630101177,0.20068933794945112,0.6957762753990139,-0.33926945340809944,0.37358646653210875
189,0.4,2,4,1,0.0,LP,0.217173659444714,0.39637576544581726,0.6956841729853761,-0.6107621299655253,0.35557813556150325
273,0.4,0,2,1,0.0,LP,0.1356483156749253,0.2169475917033744,0.695411616790969,-0.4594932164531479,0.2952128797939646
168,0.4,1,2,1,0.0,LP,0.1507631117110182,0.24577660471113955,0.6951692379046502,-0.3813483412812696,0.3953422511409862
147,0.4,1,4,2,0.0,LP,0.1788808415461023,0.30398481333086863,0.6950974565519332,-0.5024938344010146,0.35598614211721186
315,0.4,0,2,2,0.0,LP,0.11954128973913081,0.1881116629775516,0.6948975502059833,-0.3511765509859056,0.34040225465944784
210,0.2,2,2,4,0.0,LP,0.20927244284973612,0.37595498854280357,0.6948733244344069,-0.5344063812492066,0.39159794903748973
168,0.4,1,2,3,0.0,LP,0.13475214361208354,0.2156752224405107,0.6947933259979875,-0.3521025544689623,0.3827070888915175
294,0.4,2,2,4,0.0,LP,0.11725141893199154,0.18432029168128194,0.6941817570739695,-0.3306262791016614,0.3546342996405888
189,0.4,1,2,2,0.0,LP,0.139562420596955,0.22508340502356086,0.6938861753493336,-0.3499018176564703,0.39886166219912533
210,0.4,2,2,4,0.0,LP,0.1346586474906799,0.215988246108103,0.693626108444117,-0.32741400211832805,0.4112794401566675
168,0.4,2,2,1,0.0,LP,0.15373260797452537,0.2523803114428017,0.6935823408812127,-0.3764975794334491,0.4083229650662326
189,0.3,0,4,1,0.0,LP,0.22218074447598402,0.41560550630140813,0.6929317852785104,-0.6305830160399062,0.3523417834360502
315,0.2,1,4,1,0.0,LP,0.12189696774095182,1.1674048643427573,0.6927791020842884,-0.9970312596614894,0.12225992571420288
231,0.2,1,3,1,0.0,LP,0.24673292762321308,0.5182713597054763,0.6927610818164631,-0.6419796999468421,0.3843313544706216
273,0.2,0,3,1,0.0,LP,0.2384210555594506,0.46964336879841334,0.6927397448943785,-0.8246994864478545,0.28910052628549304
315,0.4,1,2,3,0.0,LP,0.12429494884225356,0.19744829037826497,0.6926697783915238,-0.3523910004932881,0.3527188511291763
147,0.4,2,3,1,0.0,LP,0.18398698893726895,0.317274330896898,0.6925395459383007,-0.5144045979349456,0.35766979859020803
126,0.4,0,4,4,0.0,LP,0.14107288903724702,0.2292153374441719,0.6921500153266347,-0.41030553290975835,0.3438239987572243
210,0.4,2,2,1,0.0,HLP,0.1560653063814581,0.2579052332756029,0.6919552615079205,-0.42809175102617547,0.3645604149282371
168,0.2,1,4,1,0.0,LP,0.24607926860600426,0.7775088998700014,0.6919223103170205,-0.8861159465140528,0.2777054961871197
210,0.3,2,3,1,0.0,LP,0.2910297688876029,0.6710432250181153,0.6915913114339006,-0.8539922618284094,0.340787360607348
315,0.4,1,2,1,0.0,LP,0.13844248194154862,0.2242149846303277,0.6912144801397132,-0.42624392881405004,0.32479637264685707
252,0.4,1,2,3,0.0,LP,0.13243603332048104,0.21291672301903478,0.6910903388789453,-0.36042601402940666,0.3674430484079203
189,0.4,2,2,1,0.0,HLP,0.15934375143717006,0.2649921720608269,0.6910116471245337,-0.44081750267046926,0.3614732865003471
168,0.2,1,3,2,0.0,LP,0.25488360908134267,0.5793094351951633,0.6909933438035862,-0.7408844403509136,0.344026133091173
315,0.3,1,3,3,0.0,LP,0.18223567604098068,0.31382043791948605,0.6908959966958603,-0.5628094392795138,0.32379641015664473
